# source: 行政事業レビューシステム(RS)実データ(https://rssystem.go.jp)。
#   2025年度分、実際に列を確認した5本すべて(1-1_基本情報_組織情報 /
#   1-2_基本情報_事業概要等 / 1-3_基本情報_政策・施策、法令等 /
#   2-1_予算・執行_サマリ / 5-1_支出先_支出情報。列対応は
#   src/jgkg/transform/rs_columns.py の照合記録)から、
#   [5]所管府省庁/政策所管府省庁 と [6]府省庁 の**両方の列**のdistinctの
#   和集合を採った(裁定B15)。[5]と[6]は行の7.1%〜11.1%(ファイルにより
#   異なる)で不一致(実測)。取得日: 2026-08-23(Task 6。
#   jgkg.connectors.rs_system が data/lake/rs-system/2026-08-23/ に保存)。
#
#   出典の内訳(40行、レビュー指摘1により明示化):
#   - 両方の列に現れる23件([5]⊆[6]。旧版からの既存行): 内閣官房・内閣府・
#     公正取引委員会・警察庁・個人情報保護委員会・カジノ管理委員会・金融庁・
#     消費者庁・こども家庭庁・デジタル庁・復興庁・総務省・法務省・外務省・
#     財務省・文部科学省・厚生労働省・農林水産省・経済産業省・国土交通省・
#     環境省・原子力規制委員会・防衛省
#   - [6]にのみ現れる14件(各府省の外局。[5]には現れない): スポーツ庁・
#     文化庁・国税庁・林野庁・水産庁・特許庁・消防庁・公害等調整委員会・
#     中央労働委員会・公安調査庁・気象庁・海上保安庁・観光庁・運輸安全委員会
#   - RSの[5][6]いずれにも現れない法令経路3件(下記「追加3行」参照): 人事院・
#     会計検査院・国家公安委員会
#
# 表記の補正(レビュー指摘1。元の表記→収録名の対応を明示する): [6]の一部の
#   行は「親省名+全角スペース+機関名」表記を使うが、houjin-bangou実データの
#   登録名は親省名を含まない単独名。この4件は単独名で一意に解決することを
#   実データで確認済みで、単独名の表記で以下に格納する(RS生値の文字列
#   そのままでは0件になり突合できない):
#     "国土交通省　気象庁"       → 気象庁       (8000012100004)
#     "国土交通省　海上保安庁"   → 海上保安庁   (7000012100005)
#     "国土交通省　観光庁"       → 観光庁       (9000012100003)
#     "国土交通省　運輸安全委員会" → 運輸安全委員会 (1000012100002)
# kensei_jun列(任意): 上記5本すべてに実在する[4]建制順(儀典上の序列)の値。
#   名称→値は関数的(1名称につき常に1値)だが、値→名称は単射ではない
#   (例: 15=総務省/消防庁/公害等調整委員会が共有、23=国土交通省と外局4件が
#   共有。ただし金融庁=10/消費者庁=11/こども家庭庁=12のように内閣府系の
#   委員会・庁は個別の値を持つ場合もあり、「外局は親省の値を継承する」という
#   単純な規則ではない=実データで確認した事実のみを記録する)。
#   **org:ministryCode には入れない**(裁定B15。建制順は儀典上の序列であり
#   「府省コード」の意味論と違うものを入れると、013/017/020と同じ「実在
#   しそうに見える偽の対応」の再発になる。オントロジーのプロパティ化もしない
#   =消費者が現れたら判断。ここではCSVの列としての記録のみ)
# 追加3行(人事院・会計検査院・国家公安委員会): 上記RS(5本・[5][6]和集合)の
#   distinctには現れないが、e-Gov法令APIの実在の法令番号(人事院規則一―四/
#   平成十二年会計検査院・大蔵省令第一号/昭和四十七年国家公安委員会・総務省令
#   第一号。tests/test_transform_law.py の CASES と同じ実例)が発令機関として
#   指す、現存する国の機関。§7.3経路1に必要(裁定B7がOBSOLETE_ORGANIZATIONに
#   誤分類していたもの。観察6の完了条件)。RSに現れないため kensei_jun は空欄。
#   **この3行はRSの年度更新に追従しない**(レビュー指摘3)。RS側は将来年度が
#   更新されてもこの3機関を含む予定が無い(そもそもRSに実在しない機関の
#   ため)ので、この3行だけは他の37行と違い自動的な再検証の対象にならない。
#   継続的な整合性はTask 11等の実データ再検証で別途確認すること
# ministry_code列: 現行コードを安定して確認できる一次資料が見つかっていないため
#   全行空欄にした(裁定B12)。旧来の013(総務省)/017(財務省)/020(厚生労働省)は
#   GIFコードリスト・総務省統計局「利用機関コード」(5桁)のいずれとも一致せず、
#   出典不明のまま削除した(task-5-report.md参照)。将来、現行コードの一次資料が
#   見つかった府省だけ値を埋めればよい(name必須・ministry_code任意)
ministry_code,name,kensei_jun
,内閣官房,1
,内閣府,4
,公正取引委員会,6
,警察庁,7
,個人情報保護委員会,8
,カジノ管理委員会,9
,金融庁,10
,消費者庁,11
,こども家庭庁,12
,デジタル庁,13
,復興庁,14
,総務省,15
,公害等調整委員会,15
,消防庁,15
,法務省,16
,公安調査庁,16
,外務省,17
,財務省,18
,国税庁,18
,文部科学省,19
,スポーツ庁,19
,文化庁,19
,厚生労働省,20
,中央労働委員会,20
,農林水産省,21
,林野庁,21
,水産庁,21
,経済産業省,22
,特許庁,22
,国土交通省,23
,気象庁,23
,海上保安庁,23
,観光庁,23
,運輸安全委員会,23
,環境省,24
,原子力規制委員会,25
,防衛省,26
,人事院,
,会計検査院,
,国家公安委員会,
