# source: 412CO0000000315「中央省庁等改革のための国の行政組織関係法律の整備等に
#   関する法律附則第三条の審議会等の委員等に類する者及び従前の府省等の
#   相当の新府省等を定める政令」(C-1、controller実機確認・実装者再取得)
#   https://laws.e-gov.go.jp/api/2/law_data/412CO0000000315
#   実測: status=200, 39092 bytes, sha256=6b7f6b88d827d1071fda2f6fbed7e14ae3b6deb653debb1c2609d5374bab5060
#   取得日: 2026-08-26(レイク: data/lake/egov-law-data/2026-08-26/law_data_412CO0000000315.json)
#
# 抽出方法: law_full_textを再帰的に走査してtag=="Table"のノードを見つけ、
#   ヘッダ行の文言(「従前」「新」)で列の意味を導出する(列の位置を
#   決め打ちにしない。src/jgkg/transform/ministry_succession.py 参照)。
#   old_name/new_nameは末尾の括弧限定(例:「(造幣局...を除く。)」)を
#   取り除いた形。row_indexは選んだTableノードのchildren内での生の添字
#   (ヘッダ行が0。レイクの生JSONを開いて children[row_index] を数えれば
#   同じ行にたどり着ける)
#
# 注意: 全58行のうち8行(総理府の外局だった庁・委員会)は「総理府」+
#   外局名を連結した形でしか現れない(例:「総理府北海道開発庁」)。
#   old_name列はこの連結を分解していない生の抽出結果であり、
#   data/reference/old-ministries.csv の18名称への解決(prefix-
#   decomposition。同モジュールのresolve_old_ministries参照)は
#   このファイルの行そのものには反映していない
#
# 注意2(2026-08-26レビュー指摘3): new_name列も同様に生の抽出結果であり、
#   18名称のうち金融再生委員会の1件(new_name="内閣府金融庁")は新側でも
#   「内閣府」+「金融庁」の連結でしか現れない(resolve_successor_names参照)。
#   さらに、この対応表は2000年時点のスナップショットのため、new_name側には
#   その後さらに廃止・独立行政法人化された機関を指す行が多数ある(例:
#   防衛庁→2007年防衛省、社会保険庁→2010年廃止、造幣局・印刷局→2003年
#   独立行政法人化)。58行のnew_nameは43種類に正規化されるが、そのうち
#   ministry-codes.csv(現行40件)の名称に一致するのは11件(素の名称)+
#   15件(連結の分解可能)の26件のみで、残り17件はどの現存組織にも一致
#   しない。**この対応表の全58行はここに出典として残すが、KGに符号化するの
#   は18名称の解決分だけに限る**(全58行をそのまま符号化すると、KGに存在
#   しない組織を指す参照整合性の失敗を生む)
#
# scope: このファイルは「対応表を抽出した、出典付きの参照データ」まで
#   (C-1)。オントロジー側の変更(AbolishedGovernmentOrgan・succeededBy)や
#   パイプラインへの結線(OLD_MINISTRYの解決)は次のタスクの範囲
old_text,new_text,old_name,new_name,source_law_id,row_index
総理府（日本学術会議、中央駐留軍関係離職者等対策協議会、公害対策会議、地震調査研究推進本部、公正取引委員会、国家公安委員会、公害等調整委員会、金融再生委員会、宮内庁、総務庁、北海道開発庁、防衛庁、経済企画庁、科学技術庁、環境庁、沖縄開発庁及び国土庁を除く。）,内閣府（宮内庁、国家公安委員会、防衛庁及び金融庁を除く。）,総理府,内閣府,412CO0000000315,1
総理府日本学術会議,総務省日本学術会議,総理府日本学術会議,総務省日本学術会議,412CO0000000315,2
総理府中央駐留軍関係離職者等対策協議会,厚生労働省（中央労働委員会及び社会保険庁を除く。）,総理府中央駐留軍関係離職者等対策協議会,厚生労働省,412CO0000000315,3
総理府公害対策会議,環境省公害対策会議,総理府公害対策会議,環境省公害対策会議,412CO0000000315,4
総理府地震調査研究推進本部,文部科学省（文化庁を除く。）,総理府地震調査研究推進本部,文部科学省,412CO0000000315,5
総理府公正取引委員会,総務省公正取引委員会,総理府公正取引委員会,総務省公正取引委員会,412CO0000000315,6
総理府国家公安委員会（警察庁を除く。）,内閣府国家公安委員会（警察庁を除く。）,総理府国家公安委員会,内閣府国家公安委員会,412CO0000000315,7
総理府国家公安委員会警察庁,内閣府国家公安委員会警察庁,総理府国家公安委員会警察庁,内閣府国家公安委員会警察庁,412CO0000000315,8
総理府公害等調整委員会,総務省公害等調整委員会,総理府公害等調整委員会,総務省公害等調整委員会,412CO0000000315,9
総理府金融再生委員会,内閣府金融庁,総理府金融再生委員会,内閣府金融庁,412CO0000000315,10
総理府宮内庁,内閣府宮内庁,総理府宮内庁,内閣府宮内庁,412CO0000000315,11
総理府総務庁（長官官房高齢社会対策室及び北方対策本部を除く。）,総務省（中央選挙管理会、日本学術会議、公正取引委員会、公害等調整委員会、郵政事業庁及び消防庁を除く。）,総理府総務庁,総務省,412CO0000000315,12
総理府総務庁長官官房高齢社会対策室,内閣府（宮内庁、国家公安委員会、防衛庁及び金融庁を除く。）,総理府総務庁長官官房高齢社会対策室,内閣府,412CO0000000315,13
総理府総務庁北方対策本部,内閣府（宮内庁、国家公安委員会、防衛庁及び金融庁を除く。）,総理府総務庁北方対策本部,内閣府,412CO0000000315,14
総理府北海道開発庁,国土交通省（船員労働委員会、気象庁、海上保安庁及び海難審判庁を除く。）,総理府北海道開発庁,国土交通省,412CO0000000315,15
